doc_id,true_topic,text,keywords
1,정치,"정당 분야에서 새로운 변화가 관측됐다. 대통령와 여당를 둘러싼 해석이 이어지는 가운데, 안보의 향방에도 관심이 쏠리고 있다.","정당,대통령,여당,안보"
2,정치+경제,"부동산 분야에서 새로운 변화가 관측됐다. 금리와 외교를 둘러싼 해석이 이어지는 가운데, 협상 및 무역의 향방에도 관심이 쏠리고 있다.","부동산,금리,외교,협상,무역,정부,안보,소비"
3,경제,최근 성장와 관련한 움직임이 뚜렷해지고 있다. 투자를 계기로 물가 논의가 확대되는 모습이다. 이에 따라 금리를 둘러싼 전망도 엇갈리고 있다.,"성장,투자,물가,금리"
4,스포츠,최근 경기와 관련한 움직임이 뚜렷해지고 있다. 훈련를 계기로 기록 논의가 확대되는 모습이다. 이에 따라 리그를 둘러싼 전망도 엇갈리고 있다.,"경기,훈련,기록,리그"
5,스포츠,최근 득점와 관련한 움직임이 뚜렷해지고 있다. 팬를 계기로 팀 논의가 확대되는 모습이다. 이에 따라 경기력를 둘러싼 전망도 엇갈리고 있다.,"득점,팬,팀,경기력"
6,경제,경제를 둘러싼 관심이 커지고 있다. 현장에서는 투자와 산업 문제를 함께 살펴보고 있다. 특히 주식 흐름이 중요한 변수로 거론된다.,"경제,투자,산업,주식"
7,경제,주식를 둘러싼 관심이 커지고 있다. 현장에서는 일자리와 소비 문제를 함께 살펴보고 있다. 특히 부동산 흐름이 중요한 변수로 거론된다.,"주식,일자리,소비,부동산"
8,과학기술+보건,검진를 둘러싼 관심이 커지고 있다. 현장에서는 백신와 인터넷 문제를 함께 살펴보고 있다. 특히 병원뿐 아니라 우주 흐름도 중요한 변수로 거론된다.,"검진,백신,인터넷,병원,우주,혁신,연구,반도체"
9,스포츠,대표팀를 둘러싼 관심이 커지고 있다. 현장에서는 팀와 득점 문제를 함께 살펴보고 있다. 특히 시즌 흐름이 중요한 변수로 거론된다.,"대표팀,팀,득점,시즌"
10,경제+보건,"경제 분야에서 새로운 변화가 관측됐다. 건강와 산업를 둘러싼 해석이 이어지는 가운데, 금융 및 백신의 향방에도 관심이 쏠리고 있다.","경제,건강,산업,금융,백신,질병,소비,치료"
11,과학기술,개발과 소프트웨어 관련 논의가 이어지고 있다. 우주 중심으로 플랫폼 변화가 나타나고 있다.,"개발,소프트웨어,우주,플랫폼"
12,스포츠,득점를 둘러싼 관심이 커지고 있다. 현장에서는 시즌와 리그 문제를 함께 살펴보고 있다. 특히 기록 흐름이 중요한 변수로 거론된다.,"득점,시즌,리그,기록"
13,보건,증상를 둘러싼 관심이 커지고 있다. 현장에서는 연구와 치료 문제를 함께 살펴보고 있다. 특히 간호 흐름이 중요한 변수로 거론된다.,"증상,연구,치료,간호"
14,경제+정치,수출과 예산 관련 논의가 이어지고 있다. 시장 중심으로 여당 변화가 나타나고 있다. 전문가들은 정책와 금융 영향에 주목하고 있다.,"수출,예산,시장,여당,정책,금융,성장,정당"
15,스포츠,최근 감독와 관련한 움직임이 뚜렷해지고 있다. 기록를 계기로 경기력 논의가 확대되는 모습이다. 이에 따라 시즌를 둘러싼 전망도 엇갈리고 있다.,"감독,기록,경기력,시즌"
16,스포츠,"우승 분야에서 새로운 변화가 관측됐다. 기록와 팀를 둘러싼 해석이 이어지는 가운데, 대회의 향방에도 관심이 쏠리고 있다.","우승,기록,팀,대회"
17,과학기술,반도체를 둘러싼 관심이 커지고 있다. 현장에서는 디지털와 데이터 문제를 함께 살펴보고 있다. 특히 알고리즘 흐름이 중요한 변수로 거론된다.,"반도체,디지털,데이터,알고리즘"
18,정치+경제,"정부 분야에서 새로운 변화가 관측됐다. 무역와 대통령를 둘러싼 해석이 이어지는 가운데, 정책 및 금리의 향방에도 관심이 쏠리고 있다.","정부,무역,대통령,정책,금리,투자,여당,주식"
19,정치+과학기술,혁신를 둘러싼 관심이 커지고 있다. 현장에서는 디지털와 인터넷 문제를 함께 살펴보고 있다. 특히 AI뿐 아니라 여당 흐름도 중요한 변수로 거론된다.,"혁신,디지털,인터넷,AI,여당,외교,의회,개혁"
20,경제,주식과 수출 관련 논의가 이어지고 있다. 산업 중심으로 기업 변화가 나타나고 있다.,"주식,수출,산업,기업"
21,스포츠+정치,"행정 분야에서 새로운 변화가 관측됐다. 팀와 외교를 둘러싼 해석이 이어지는 가운데, 정당 및 감독의 향방에도 관심이 쏠리고 있다.","행정,팀,외교,정당,감독,기록,선수,여당"
22,스포츠+과학기술,기록를 둘러싼 관심이 커지고 있다. 현장에서는 팀와 인터넷 문제를 함께 살펴보고 있다. 특히 AI뿐 아니라 우주 흐름도 중요한 변수로 거론된다.,"기록,팀,인터넷,AI,우주,리그,개발,감독"
23,스포츠+정치,"법안 분야에서 새로운 변화가 관측됐다. 팬와 선수를 둘러싼 해석이 이어지는 가운데, 정당 및 감독의 향방에도 관심이 쏠리고 있다.","법안,팬,선수,정당,감독,대통령,경기력,행정"
24,스포츠,"팀 분야에서 새로운 변화가 관측됐다. 득점와 대회를 둘러싼 해석이 이어지는 가운데, 리그의 향방에도 관심이 쏠리고 있다.","팀,득점,대회,리그"
25,보건+과학기술,병원과 개발 관련 논의가 이어지고 있다. 백신 중심으로 환자 변화가 나타나고 있다. 전문가들은 알고리즘와 데이터 영향에 주목하고 있다.,"병원,개발,백신,환자,알고리즘,데이터,플랫폼,연구"
26,보건,최근 치료와 관련한 움직임이 뚜렷해지고 있다. 예방를 계기로 간호 논의가 확대되는 모습이다. 이에 따라 의료를 둘러싼 전망도 엇갈리고 있다.,"치료,예방,간호,의료"
27,정치,선거를 둘러싼 관심이 커지고 있다. 현장에서는 국회와 행정 문제를 함께 살펴보고 있다. 특히 야당 흐름이 중요한 변수로 거론된다.,"선거,국회,행정,야당"
28,경제,주식과 부동산 관련 논의가 이어지고 있다. 일자리 중심으로 무역 변화가 나타나고 있다.,"주식,부동산,일자리,무역"
29,보건,"치료 분야에서 새로운 변화가 관측됐다. 증상와 병원를 둘러싼 해석이 이어지는 가운데, 백신의 향방에도 관심이 쏠리고 있다.","치료,증상,병원,백신"
30,정치,"의회 분야에서 새로운 변화가 관측됐다. 야당와 여당를 둘러싼 해석이 이어지는 가운데, 대통령의 향방에도 관심이 쏠리고 있다.","의회,야당,여당,대통령"
31,보건+스포츠,시즌를 둘러싼 관심이 커지고 있다. 현장에서는 경기력와 증상 문제를 함께 살펴보고 있다. 특히 기록뿐 아니라 백신 흐름도 중요한 변수로 거론된다.,"시즌,경기력,증상,기록,백신,팀,병원,연구"
32,정치,최근 의회와 관련한 움직임이 뚜렷해지고 있다. 정책를 계기로 야당 논의가 확대되는 모습이다. 이에 따라 예산를 둘러싼 전망도 엇갈리고 있다.,"의회,정책,야당,예산"
33,정치+과학기술,플랫폼과 외교 관련 논의가 이어지고 있다. 반도체 중심으로 연구 변화가 나타나고 있다. 전문가들은 기술와 국회 영향에 주목하고 있다.,"플랫폼,외교,반도체,연구,기술,국회,행정,정당"
34,보건,최근 검진와 관련한 움직임이 뚜렷해지고 있다. 건강를 계기로 백신 논의가 확대되는 모습이다. 이에 따라 간호를 둘러싼 전망도 엇갈리고 있다.,"검진,건강,백신,간호"
35,보건+정치,협상과 개혁 관련 논의가 이어지고 있다. 환자 중심으로 건강 변화가 나타나고 있다. 전문가들은 안보와 법안 영향에 주목하고 있다.,"협상,개혁,환자,건강,안보,법안,백신,감염"
36,스포츠,시즌과 기록 관련 논의가 이어지고 있다. 경기력 중심으로 대표팀 변화가 나타나고 있다.,"시즌,기록,경기력,대표팀"
37,보건,"감염 분야에서 새로운 변화가 관측됐다. 백신와 환자를 둘러싼 해석이 이어지는 가운데, 검진의 향방에도 관심이 쏠리고 있다.","감염,백신,환자,검진"
38,보건,최근 치료와 관련한 움직임이 뚜렷해지고 있다. 간호를 계기로 질병 논의가 확대되는 모습이다. 이에 따라 건강를 둘러싼 전망도 엇갈리고 있다.,"치료,간호,질병,건강"
39,정치,"협상 분야에서 새로운 변화가 관측됐다. 개혁와 선거를 둘러싼 해석이 이어지는 가운데, 정당의 향방에도 관심이 쏠리고 있다.","협상,개혁,선거,정당"
40,스포츠,감독과 대표팀 관련 논의가 이어지고 있다. 기록 중심으로 훈련 변화가 나타나고 있다.,"감독,대표팀,기록,훈련"
41,경제,물가를 둘러싼 관심이 커지고 있다. 현장에서는 금리와 부동산 문제를 함께 살펴보고 있다. 특히 주식 흐름이 중요한 변수로 거론된다.,"물가,금리,부동산,주식"
42,스포츠,"기록 분야에서 새로운 변화가 관측됐다. 경기력와 선수를 둘러싼 해석이 이어지는 가운데, 훈련의 향방에도 관심이 쏠리고 있다.","기록,경기력,선수,훈련"
43,경제,소비를 둘러싼 관심이 커지고 있다. 현장에서는 시장와 부동산 문제를 함께 살펴보고 있다. 특히 기업 흐름이 중요한 변수로 거론된다.,"소비,시장,부동산,기업"
44,스포츠,"대회 분야에서 새로운 변화가 관측됐다. 팀와 경기를 둘러싼 해석이 이어지는 가운데, 훈련의 향방에도 관심이 쏠리고 있다.","대회,팀,경기,훈련"
45,스포츠,팬를 둘러싼 관심이 커지고 있다. 현장에서는 득점와 훈련 문제를 함께 살펴보고 있다. 특히 경기력 흐름이 중요한 변수로 거론된다.,"팬,득점,훈련,경기력"
46,과학기술,플랫폼를 둘러싼 관심이 커지고 있다. 현장에서는 연구와 혁신 문제를 함께 살펴보고 있다. 특히 반도체 흐름이 중요한 변수로 거론된다.,"플랫폼,연구,혁신,반도체"
47,정치+보건,"치료 분야에서 새로운 변화가 관측됐다. 간호와 외교를 둘러싼 해석이 이어지는 가운데, 증상 및 환자의 향방에도 관심이 쏠리고 있다.","치료,간호,외교,증상,환자,행정,선거,정책"
48,과학기술,"AI 분야에서 새로운 변화가 관측됐다. 소프트웨어와 반도체를 둘러싼 해석이 이어지는 가운데, 디지털의 향방에도 관심이 쏠리고 있다.","AI,소프트웨어,반도체,디지털"
49,보건,최근 건강와 관련한 움직임이 뚜렷해지고 있다. 예방를 계기로 의사 논의가 확대되는 모습이다. 이에 따라 연구를 둘러싼 전망도 엇갈리고 있다.,"건강,예방,의사,연구"
50,정치,"정책 분야에서 새로운 변화가 관측됐다. 예산와 법안를 둘러싼 해석이 이어지는 가운데, 행정의 향방에도 관심이 쏠리고 있다.","정책,예산,법안,행정"
51,스포츠,우승를 둘러싼 관심이 커지고 있다. 현장에서는 경기와 팬 문제를 함께 살펴보고 있다. 특히 대회 흐름이 중요한 변수로 거론된다.,"우승,경기,팬,대회"
52,경제,최근 시장와 관련한 움직임이 뚜렷해지고 있다. 산업를 계기로 성장 논의가 확대되는 모습이다. 이에 따라 주식를 둘러싼 전망도 엇갈리고 있다.,"시장,산업,성장,주식"
53,과학기술,소프트웨어과 디지털 관련 논의가 이어지고 있다. 알고리즘 중심으로 연구 변화가 나타나고 있다.,"소프트웨어,디지털,알고리즘,연구"
54,보건,검진를 둘러싼 관심이 커지고 있다. 현장에서는 환자와 의사 문제를 함께 살펴보고 있다. 특히 질병 흐름이 중요한 변수로 거론된다.,"검진,환자,의사,질병"
55,스포츠,"팀 분야에서 새로운 변화가 관측됐다. 훈련와 경기력를 둘러싼 해석이 이어지는 가운데, 감독의 향방에도 관심이 쏠리고 있다.","팀,훈련,경기력,감독"
56,보건,의사과 감염 관련 논의가 이어지고 있다. 보건 중심으로 치료 변화가 나타나고 있다.,"의사,감염,보건,치료"
57,보건,연구과 건강 관련 논의가 이어지고 있다. 감염 중심으로 검진 변화가 나타나고 있다.,"연구,건강,감염,검진"
58,보건,최근 환자와 관련한 움직임이 뚜렷해지고 있다. 감염를 계기로 검진 논의가 확대되는 모습이다. 이에 따라 의사를 둘러싼 전망도 엇갈리고 있다.,"환자,감염,검진,의사"
59,보건+정치,"의사 분야에서 새로운 변화가 관측됐다. 정책와 법안를 둘러싼 해석이 이어지는 가운데, 외교 및 행정의 향방에도 관심이 쏠리고 있다.","의사,정책,법안,외교,행정,건강,환자,의료"
60,스포츠,"선수 분야에서 새로운 변화가 관측됐다. 리그와 득점를 둘러싼 해석이 이어지는 가운데, 팀의 향방에도 관심이 쏠리고 있다.","선수,리그,득점,팀"
61,과학기술,최근 플랫폼와 관련한 움직임이 뚜렷해지고 있다. 기술를 계기로 디지털 논의가 확대되는 모습이다. 이에 따라 AI를 둘러싼 전망도 엇갈리고 있다.,"플랫폼,기술,디지털,AI"
62,보건,감염과 증상 관련 논의가 이어지고 있다. 보건 중심으로 예방 변화가 나타나고 있다.,"감염,증상,보건,예방"
63,과학기술+스포츠,"최근 시즌와 관련한 움직임이 뚜렷해지고 있다. 훈련를 계기로 대표팀 논의가 확대되는 모습이다. 이에 따라 플랫폼, 알고리즘를 둘러싼 전망도 엇갈리고 있다.","시즌,훈련,대표팀,플랫폼,알고리즘,반도체,기록,우주"
64,보건,최근 의료와 관련한 움직임이 뚜렷해지고 있다. 간호를 계기로 의사 논의가 확대되는 모습이다. 이에 따라 백신를 둘러싼 전망도 엇갈리고 있다.,"의료,간호,의사,백신"
65,보건,질병를 둘러싼 관심이 커지고 있다. 현장에서는 예방와 환자 문제를 함께 살펴보고 있다. 특히 증상 흐름이 중요한 변수로 거론된다.,"질병,예방,환자,증상"
66,과학기술+보건,"최근 환자와 관련한 움직임이 뚜렷해지고 있다. 증상를 계기로 예방 논의가 확대되는 모습이다. 이에 따라 인터넷, 질병를 둘러싼 전망도 엇갈리고 있다.","환자,증상,예방,인터넷,질병,개발,우주,알고리즘"
67,정치+보건,"최근 법안와 관련한 움직임이 뚜렷해지고 있다. 감염를 계기로 선거 논의가 확대되는 모습이다. 이에 따라 행정, 환자를 둘러싼 전망도 엇갈리고 있다.","법안,감염,선거,행정,환자,병원,예산,의료"
68,과학기술,디지털를 둘러싼 관심이 커지고 있다. 현장에서는 플랫폼와 소프트웨어 문제를 함께 살펴보고 있다. 특히 데이터 흐름이 중요한 변수로 거론된다.,"디지털,플랫폼,소프트웨어,데이터"
69,스포츠+보건,"선수 분야에서 새로운 변화가 관측됐다. 경기력와 팀를 둘러싼 해석이 이어지는 가운데, 건강 및 증상의 향방에도 관심이 쏠리고 있다.","선수,경기력,팀,건강,증상,연구,감염,대회"
70,스포츠,최근 선수와 관련한 움직임이 뚜렷해지고 있다. 경기를 계기로 대표팀 논의가 확대되는 모습이다. 이에 따라 팬를 둘러싼 전망도 엇갈리고 있다.,"선수,경기,대표팀,팬"
71,경제,"무역 분야에서 새로운 변화가 관측됐다. 투자와 금리를 둘러싼 해석이 이어지는 가운데, 기업의 향방에도 관심이 쏠리고 있다.","무역,투자,금리,기업"
72,과학기술,연구과 AI 관련 논의가 이어지고 있다. 디지털 중심으로 반도체 변화가 나타나고 있다.,"연구,AI,디지털,반도체"
73,보건,검진를 둘러싼 관심이 커지고 있다. 현장에서는 연구와 감염 문제를 함께 살펴보고 있다. 특히 증상 흐름이 중요한 변수로 거론된다.,"검진,연구,감염,증상"
74,보건,"의사 분야에서 새로운 변화가 관측됐다. 환자와 병원를 둘러싼 해석이 이어지는 가운데, 치료의 향방에도 관심이 쏠리고 있다.","의사,환자,병원,치료"
75,보건+과학기술,간호를 둘러싼 관심이 커지고 있다. 현장에서는 의료와 예방 문제를 함께 살펴보고 있다. 특히 AI뿐 아니라 플랫폼 흐름도 중요한 변수로 거론된다.,"간호,의료,예방,AI,플랫폼,의사,데이터,개발"
76,스포츠,"시즌 분야에서 새로운 변화가 관측됐다. 경기와 리그를 둘러싼 해석이 이어지는 가운데, 팬의 향방에도 관심이 쏠리고 있다.","시즌,경기,리그,팬"
77,경제,"수출 분야에서 새로운 변화가 관측됐다. 부동산와 산업를 둘러싼 해석이 이어지는 가운데, 금융의 향방에도 관심이 쏠리고 있다.","수출,부동산,산업,금융"
78,정치,정책과 개혁 관련 논의가 이어지고 있다. 야당 중심으로 의회 변화가 나타나고 있다.,"정책,개혁,야당,의회"
79,보건,"건강 분야에서 새로운 변화가 관측됐다. 백신와 환자를 둘러싼 해석이 이어지는 가운데, 예방의 향방에도 관심이 쏠리고 있다.","건강,백신,환자,예방"
80,스포츠+보건,팬과 연구 관련 논의가 이어지고 있다. 병원 중심으로 시즌 변화가 나타나고 있다. 전문가들은 훈련와 기록 영향에 주목하고 있다.,"팬,연구,병원,시즌,훈련,기록,질병,의료"
81,스포츠+경제,"감독 분야에서 새로운 변화가 관측됐다. 시장와 리그를 둘러싼 해석이 이어지는 가운데, 무역 및 투자의 향방에도 관심이 쏠리고 있다.","감독,시장,리그,무역,투자,대표팀,산업,대회"
82,보건,"예방 분야에서 새로운 변화가 관측됐다. 간호와 보건를 둘러싼 해석이 이어지는 가운데, 건강의 향방에도 관심이 쏠리고 있다.","예방,간호,보건,건강"
83,과학기술,최근 로봇와 관련한 움직임이 뚜렷해지고 있다. 우주를 계기로 개발 논의가 확대되는 모습이다. 이에 따라 반도체를 둘러싼 전망도 엇갈리고 있다.,"로봇,우주,개발,반도체"
84,스포츠,"경기력 분야에서 새로운 변화가 관측됐다. 경기와 리그를 둘러싼 해석이 이어지는 가운데, 대표팀의 향방에도 관심이 쏠리고 있다.","경기력,경기,리그,대표팀"
85,스포츠,"대회 분야에서 새로운 변화가 관측됐다. 훈련와 기록를 둘러싼 해석이 이어지는 가운데, 우승의 향방에도 관심이 쏠리고 있다.","대회,훈련,기록,우승"
86,과학기술+정치,야당과 예산 관련 논의가 이어지고 있다. 법안 중심으로 여당 변화가 나타나고 있다. 전문가들은 인터넷와 기술 영향에 주목하고 있다.,"야당,예산,법안,여당,인터넷,기술,소프트웨어,플랫폼"
87,과학기술,최근 로봇와 관련한 움직임이 뚜렷해지고 있다. 소프트웨어를 계기로 AI 논의가 확대되는 모습이다. 이에 따라 인터넷를 둘러싼 전망도 엇갈리고 있다.,"로봇,소프트웨어,AI,인터넷"
88,과학기술,혁신과 기술 관련 논의가 이어지고 있다. 데이터 중심으로 디지털 변화가 나타나고 있다.,"혁신,기술,데이터,디지털"
89,경제,주식과 금리 관련 논의가 이어지고 있다. 일자리 중심으로 부동산 변화가 나타나고 있다.,"주식,금리,일자리,부동산"
90,보건,최근 백신와 관련한 움직임이 뚜렷해지고 있다. 의사를 계기로 병원 논의가 확대되는 모습이다. 이에 따라 증상를 둘러싼 전망도 엇갈리고 있다.,"백신,의사,병원,증상"
91,경제,부동산과 금융 관련 논의가 이어지고 있다. 무역 중심으로 산업 변화가 나타나고 있다.,"부동산,금융,무역,산업"
92,과학기술,최근 반도체와 관련한 움직임이 뚜렷해지고 있다. 플랫폼를 계기로 개발 논의가 확대되는 모습이다. 이에 따라 혁신를 둘러싼 전망도 엇갈리고 있다.,"반도체,플랫폼,개발,혁신"
93,정치,최근 선거와 관련한 움직임이 뚜렷해지고 있다. 법안를 계기로 여당 논의가 확대되는 모습이다. 이에 따라 야당를 둘러싼 전망도 엇갈리고 있다.,"선거,법안,여당,야당"
94,보건,"보건 분야에서 새로운 변화가 관측됐다. 검진와 건강를 둘러싼 해석이 이어지는 가운데, 예방의 향방에도 관심이 쏠리고 있다.","보건,검진,건강,예방"
95,정치,외교과 개혁 관련 논의가 이어지고 있다. 정책 중심으로 협상 변화가 나타나고 있다.,"외교,개혁,정책,협상"
96,과학기술,최근 혁신와 관련한 움직임이 뚜렷해지고 있다. AI를 계기로 개발 논의가 확대되는 모습이다. 이에 따라 연구를 둘러싼 전망도 엇갈리고 있다.,"혁신,AI,개발,연구"
97,경제,금융를 둘러싼 관심이 커지고 있다. 현장에서는 금리와 성장 문제를 함께 살펴보고 있다. 특히 물가 흐름이 중요한 변수로 거론된다.,"금융,금리,성장,물가"
98,정치,예산과 협상 관련 논의가 이어지고 있다. 정부 중심으로 외교 변화가 나타나고 있다.,"예산,협상,정부,외교"
99,보건,최근 보건와 관련한 움직임이 뚜렷해지고 있다. 질병를 계기로 치료 논의가 확대되는 모습이다. 이에 따라 건강를 둘러싼 전망도 엇갈리고 있다.,"보건,질병,치료,건강"
100,보건,예방과 의사 관련 논의가 이어지고 있다. 증상 중심으로 의료 변화가 나타나고 있다.,"예방,의사,증상,의료"
101,경제+과학기술,"알고리즘 분야에서 새로운 변화가 관측됐다. 물가와 소프트웨어를 둘러싼 해석이 이어지는 가운데, 무역 및 성장의 향방에도 관심이 쏠리고 있다.","알고리즘,물가,소프트웨어,무역,성장,경제,AI,데이터"
102,보건,의료를 둘러싼 관심이 커지고 있다. 현장에서는 검진와 질병 문제를 함께 살펴보고 있다. 특히 환자 흐름이 중요한 변수로 거론된다.,"의료,검진,질병,환자"
103,과학기술,연구과 혁신 관련 논의가 이어지고 있다. 소프트웨어 중심으로 인터넷 변화가 나타나고 있다.,"연구,혁신,소프트웨어,인터넷"
104,과학기술,최근 데이터와 관련한 움직임이 뚜렷해지고 있다. 반도체를 계기로 우주 논의가 확대되는 모습이다. 이에 따라 디지털를 둘러싼 전망도 엇갈리고 있다.,"데이터,반도체,우주,디지털"
105,스포츠,"팬 분야에서 새로운 변화가 관측됐다. 우승와 대표팀를 둘러싼 해석이 이어지는 가운데, 감독의 향방에도 관심이 쏠리고 있다.","팬,우승,대표팀,감독"
106,보건,최근 백신와 관련한 움직임이 뚜렷해지고 있다. 병원를 계기로 보건 논의가 확대되는 모습이다. 이에 따라 질병를 둘러싼 전망도 엇갈리고 있다.,"백신,병원,보건,질병"
107,보건+스포츠,예방를 둘러싼 관심이 커지고 있다. 현장에서는 건강와 시즌 문제를 함께 살펴보고 있다. 특히 병원뿐 아니라 선수 흐름도 중요한 변수로 거론된다.,"예방,건강,시즌,병원,선수,경기력,훈련,질병"
108,스포츠,대회를 둘러싼 관심이 커지고 있다. 현장에서는 경기력와 팀 문제를 함께 살펴보고 있다. 특히 선수 흐름이 중요한 변수로 거론된다.,"대회,경기력,팀,선수"
109,스포츠,리그과 대표팀 관련 논의가 이어지고 있다. 경기 중심으로 감독 변화가 나타나고 있다.,"리그,대표팀,경기,감독"
110,보건+경제,소비과 병원 관련 논의가 이어지고 있다. 백신 중심으로 치료 변화가 나타나고 있다. 전문가들은 시장와 감염 영향에 주목하고 있다.,"소비,병원,백신,치료,시장,감염,주식,기업"
111,경제,부동산과 금융 관련 논의가 이어지고 있다. 시장 중심으로 소비 변화가 나타나고 있다.,"부동산,금융,시장,소비"
112,과학기술,최근 혁신와 관련한 움직임이 뚜렷해지고 있다. 데이터를 계기로 소프트웨어 논의가 확대되는 모습이다. 이에 따라 플랫폼를 둘러싼 전망도 엇갈리고 있다.,"혁신,데이터,소프트웨어,플랫폼"
113,정치,"선거 분야에서 새로운 변화가 관측됐다. 법안와 야당를 둘러싼 해석이 이어지는 가운데, 협상의 향방에도 관심이 쏠리고 있다.","선거,법안,야당,협상"
114,과학기술,데이터를 둘러싼 관심이 커지고 있다. 현장에서는 인터넷와 디지털 문제를 함께 살펴보고 있다. 특히 알고리즘 흐름이 중요한 변수로 거론된다.,"데이터,인터넷,디지털,알고리즘"
115,과학기술,최근 소프트웨어와 관련한 움직임이 뚜렷해지고 있다. 데이터를 계기로 디지털 논의가 확대되는 모습이다. 이에 따라 인터넷를 둘러싼 전망도 엇갈리고 있다.,"소프트웨어,데이터,디지털,인터넷"
116,경제,투자과 수출 관련 논의가 이어지고 있다. 물가 중심으로 부동산 변화가 나타나고 있다.,"투자,수출,물가,부동산"
117,보건,"치료 분야에서 새로운 변화가 관측됐다. 연구와 병원를 둘러싼 해석이 이어지는 가운데, 간호의 향방에도 관심이 쏠리고 있다.","치료,연구,병원,간호"
118,과학기술,연구를 둘러싼 관심이 커지고 있다. 현장에서는 디지털와 인터넷 문제를 함께 살펴보고 있다. 특히 AI 흐름이 중요한 변수로 거론된다.,"연구,디지털,인터넷,AI"
119,과학기술+경제,투자과 데이터 관련 논의가 이어지고 있다. 기술 중심으로 디지털 변화가 나타나고 있다. 전문가들은 성장와 주식 영향에 주목하고 있다.,"투자,데이터,기술,디지털,성장,주식,물가,우주"
120,보건+스포츠,"병원 분야에서 새로운 변화가 관측됐다. 연구와 선수를 둘러싼 해석이 이어지는 가운데, 팬 및 백신의 향방에도 관심이 쏠리고 있다.","병원,연구,선수,팬,백신,우승,시즌,치료"
121,보건,백신과 치료 관련 논의가 이어지고 있다. 보건 중심으로 예방 변화가 나타나고 있다.,"백신,치료,보건,예방"
122,스포츠+정치,훈련과 여당 관련 논의가 이어지고 있다. 외교 중심으로 시즌 변화가 나타나고 있다. 전문가들은 행정와 선수 영향에 주목하고 있다.,"훈련,여당,외교,시즌,행정,선수,리그,협상"
123,스포츠+과학기술,"최근 AI와 관련한 움직임이 뚜렷해지고 있다. 소프트웨어를 계기로 경기 논의가 확대되는 모습이다. 이에 따라 반도체, 개발를 둘러싼 전망도 엇갈리고 있다.","AI,소프트웨어,경기,반도체,개발,리그,시즌,대회"
124,과학기술+스포츠,소프트웨어과 디지털 관련 논의가 이어지고 있다. 대표팀 중심으로 경기력 변화가 나타나고 있다. 전문가들은 대회와 우주 영향에 주목하고 있다.,"소프트웨어,디지털,대표팀,경기력,대회,우주,로봇,팀"
125,스포츠,"경기력 분야에서 새로운 변화가 관측됐다. 우승와 팬를 둘러싼 해석이 이어지는 가운데, 시즌의 향방에도 관심이 쏠리고 있다.","경기력,우승,팬,시즌"
